levene_p,anova_p,kruskal_p,eta_sq,omega_sq,n
0.2868195395089522,0.0291775116354933,0.008741271481949607,0.008999449787897676,0.006008530001578562,1000
0.2803189274781835,0.04040511793892205,0.01656295850290795,0.007530839578883704,0.004809871394314547,1100
0.285468843658381,0.0157434057763228,0.009031379656196447,0.00862097256634978,0.006129155343636975,1200
0.47570402439373694,0.059071423847879084,0.021211603888413432,0.005723517101475459,0.0034193278993048023,1300
0.4998016583799293,0.09082497276590965,0.057261410774723805,0.004622799617621265,0.0024819671715741167,1400
0.284359440250816,0.09844730199762836,0.07881740729334508,0.0041923969416766725,0.002193996134720119,1500
0.15235761815067214,0.07435890684868113,0.08750467063817349,0.004327617717578478,0.0024545218238197367,1600
0.06189929571087835,0.05322232240762385,0.09257063558392241,0.004513952839825515,0.0027514545048906458,1700
0.04506044761741605,0.05405022847491047,0.10426972363750488,0.004244098498839381,0.0025793790464945943,1800
0.03318206993770907,0.07555163308498489,0.15677382183503255,0.0036254127841985908,0.002047794571056268,1900
0.02054206027886098,0.04495246890153361,0.10754263488837534,0.004024854800566855,0.002526637413961876,2000
0.018158558841955864,0.03576768270304884,0.07872166683733423,0.004074173547850476,0.0026474492432550433,2100
0.011003709954214477,0.010409604257083175,0.023398246696880388,0.00511230771195011,0.00375147193320764,2200
0.006258244709914282,0.02052048101350303,0.06473443740372599,0.0042501245246358175,0.0029477791948482337,2300
0.002393017175011318,0.016416152600371138,0.05929878150569681,0.004275638020604429,0.003027646456633428,2400
0.0025889030988486615,0.01929409377055868,0.060630359554462665,0.003964071359792585,0.0027658090876997443,2500
0.001105911388743593,0.006285486314868639,0.021552993277158306,0.004743799305332206,0.0035922801061279456,2600
0.004595648764401658,0.0043341768541951915,0.007497054667383056,0.004862815549350705,0.0037540813582138508,2700
0.006518195368340555,0.0019403579419176675,0.0025110244364679843,0.005299663028969775,0.004230882817425687,2800
0.06499130834754391,0.02078282223656559,0.0133251869573073,0.003361646878506134,0.0023284163369357244,2900
0.17234752091609343,0.025120176761236287,0.0066447080843379915,0.003111409299626648,0.002112486840971478,3000
